A_x,B_x,C,D_x,E,F,G,A_y,B_y,D_y
"82, ""000310"," ""知プラe科目　高度情報化社会の歩き方 """," ""後藤田　中", 藤本　憲市[Gotoda Naka," Kenichi FUJIMOTO]"""," ""3Q"""," ""集中""",,,
"83, ""000311"," ""知プラe科目　地域コンテンツと知財管理　その１ """," ""林　敏浩", 藤本　憲市, 村井　礼[Hayashi Toshihiro, Kenichi FUJIMOTO," Hiroshi MURAI]""",,,
"84, ""000312"," ""知プラe科目　地域コンテンツと知財管理　その２ """," ""林　敏浩", 藤本　憲市, 村井　礼[Hayashi Toshihiro, Kenichi FUJIMOTO," Hiroshi MURAI]""",,,
"85, ""000313"," ""知プラe科目　飛行機はなぜ飛ぶのか """," ""岩本　幸治[Yukiharu IWAMOTO]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"86, ""000314"," ""知プラe科目　身の回りの放射線 """," ""岡野　聡[Satoshi OKANO]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"87, ""000315"," ""植物のバイオセンシング　-作物の収量増大～水資源の有効利用- """," ""下川  房男[Shimokawa Fusao]"""," ""2Q"""," ""火2"""," ""1～""", ,,,
"88, ""000316"," ""地方都市と交通　-自動運転技術の役割- """," ""堤　成可[Shigeyoshi Tsutsumi]"""," ""2Q"""," ""金2"""," ""1～""", ,,,
"89, ""000401"," ""身の回りの環境問題A """," ""古川　尚幸[Furukawa Naoyuki]"""," ""1Q"""," ""木1"""," ""1～""", ,,,
"90, ""000402"," ""身の回りの環境問題B """," ""古川　尚幸[Furukawa Naoyuki]"""," ""2Q"""," ""木1"""," ""1～""", ,,,
"91, ""000403"," ""毒の科学 """," ""川村　理[Kawamura Osamu]"""," ""4Q"""," ""金2"""," ""1～""", ,,,
"92, ""000404"," ""植物の病気：自然淘汰のメカニズムとして """," ""秋光　和也[Akimitsu Kazuya]"""," ""4Q"""," ""月1"""," ""1～""", ,,,
"93, ""000405"," ""農業と植物科学 """," ""五味　剣二[Gomi Kenji]"""," ""3Q"""," ""金2"""," ""1～""", ,,,
"94, ""000406"," ""疾病の仕組みを考える """," ""杉山　康憲[Sugiyama Yasunori]"""," ""4Q"""," ""金2"""," ""1～""", ,,,
"95, ""000407"," ""人類と微生物 """," ""田淵　光昭[Tabuchi Mitsuaki]"""," ""3Q"""," ""木5"""," ""1～""", ,,,
